ExprID,Expression,Type
1,4+95,Infix
2,32 29 +,Postfix
3,95+14,Infix
4,76+55,Infix
5,4+12,Infix
6,30+65,Infix
7,72+26,Infix
8,29 58 +,Postfix
9,1 98 +,Postfix
10,90+55,Infix
11,36 20 +,Postfix
12,98+44,Infix
13,12+49,Infix
14,46+45,Infix
15,6 94 +,Postfix
16,69 16 +,Postfix
17,11 71 +,Postfix
18,81 80 +,Postfix
19,74 25 +,Postfix
20,6+85,Infix
21,99+38,Infix
22,30+13,Infix
23,36 59 +,Postfix
24,21 48 +,Postfix
25,27 86 +,Postfix
26,90 88 +,Postfix
27,78+82,Infix
28,69+94,Infix
29,21+60,Infix
30,35 82 +,Postfix
31,88+42,Infix
32,30+5,Infix
33,52 35 +,Postfix
34,28+73,Infix
35,28 84 +,Postfix
36,51 83 +,Postfix
37,19 34 +,Postfix
38,32+96,Infix
39,96 75 +,Postfix
40,75 52 +,Postfix
41,29 18 +,Postfix
42,12 97 +,Postfix
43,15+20,Infix
44,88+55,Infix
45,50+49,Infix
46,68 33 +,Postfix
47,88+93,Infix
48,88+69,Infix
49,99 83 +,Postfix
50,15 38 +,Postfix
51,21 59 +,Postfix
52,93+93,Infix
53,65 98 +,Postfix
54,65+14,Infix
55,82 65 +,Postfix
56,20+48,Infix
57,70+68,Infix
58,77+42,Infix
59,3 15 +,Postfix
60,40 31 +,Postfix
61,31+73,Infix
62,11+94,Infix
63,9 98 +,Postfix
64,17+85,Infix
65,71 22 +,Postfix
66,68 78 +,Postfix
67,28 70 +,Postfix
68,92+40,Infix
69,86 84 +,Postfix
70,57 67 +,Postfix
71,16 32 +,Postfix
72,9+44,Infix
73,76+71,Infix
74,76+29,Infix
75,10+91,Infix
76,30+9,Infix
77,43+10,Infix
78,36+86,Infix
79,28 70 +,Postfix
80,93+74,Infix
81,32 61 +,Postfix
82,25 13 +,Postfix
83,85+56,Infix
84,55 53 +,Postfix
85,94 7 +,Postfix
86,8+52,Infix
87,14 32 +,Postfix
88,25+69,Infix
89,18 55 +,Postfix
90,36+60,Infix
91,10+57,Infix
92,7+84,Infix
93,12+97,Infix
94,22+53,Infix
95,62 28 +,Postfix
96,8 22 +,Postfix
97,1 50 +,Postfix
98,59 37 +,Postfix
99,90 94 +,Postfix
100,20 25 +,Postfix
101,28 8 +,Postfix
102,96+41,Infix
103,7+75,Infix
104,65 68 +,Postfix
105,8+66,Infix
106,24+9,Infix
107,87+31,Infix
108,16 73 +,Postfix
109,75+77,Infix
110,80+11,Infix
111,85 75 +,Postfix
112,34 27 +,Postfix
113,31 34 +,Postfix
114,17 86 +,Postfix
115,59 41 +,Postfix
116,2+59,Infix
117,10+69,Infix
118,65+34,Infix
119,45+9,Infix
120,48+37,Infix
121,57+70,Infix
122,79 84 +,Postfix
123,86+71,Infix
124,85 14 +,Postfix
125,34+15,Infix
126,96+71,Infix
127,35+37,Infix
128,92+44,Infix
129,88+82,Infix
130,65 63 +,Postfix
131,7 12 +,Postfix
132,36 6 +,Postfix
133,43+99,Infix
134,82+34,Infix
135,95+57,Infix
136,72 2 +,Postfix
137,10+89,Infix
138,70+5,Infix
139,75 71 +,Postfix
140,56+17,Infix
141,40+47,Infix
142,46+27,Infix
143,86+14,Infix
144,72 53 +,Postfix
145,31+21,Infix
146,53+4,Infix
147,95+43,Infix
148,86 95 +,Postfix
149,35+21,Infix
150,49+5,Infix
151,29 26 +,Postfix
152,45 40 +,Postfix
153,29+4,Infix
154,52+43,Infix
155,9 99 +,Postfix
156,45 83 +,Postfix
157,87 69 +,Postfix
158,4 15 +,Postfix
159,23 75 +,Postfix
160,5 14 +,Postfix
161,45 94 +,Postfix
162,56 78 +,Postfix
163,50+74,Infix
164,33+6,Infix
165,1 67 +,Postfix
166,47+56,Infix
167,86+43,Infix
168,85 16 +,Postfix
