ExprID,Expression,Type
1,4 / 3 - 8,Infix
2,5 ^ 3 * 5 * 4 + 9 * 7,Infix
3,6 + 2 ^ 1 ^ 6 / 2,Infix
4,2 1 4 * - 2 - 2 - 2 -,Postfix
5,6 / 3 * 3 / 1 / 4 / 2,Infix
6,5 0 * 6 +,Postfix
7,2 * 2 * 3 / 1,Infix
8,2 + 5 + 3,Infix
9,1 3 9 0 ^ / +,Postfix
10,2 / 7 / 4,Infix
11,6 ^ 9 + 4 - 1,Infix
12,8 ^ 0 - 3,Infix
13,2 4 8 * 0 * -,Postfix
14,9 4 7 ^ *,Postfix
15,3 ^ 1 ^ 5 - 0 / 5,Infix
16,6 2 * 5 / 3 0 4 ^ ^ +,Postfix
17,2 8 6 8 ^ ^ ^ 0 / 5 -,Postfix
18,8 5 - 5 0 * + 2 -,Postfix
19,6 ^ 5 + 0 - 7 + 1 * 4,Infix
20,2 5 ^ 1 *,Postfix
21,1 ^ 8 - 0 * 9 * 7 - 1,Infix
22,2 4 - 3 -,Postfix
23,3 1 / 9 * 3 + 7 8 ^ +,Postfix
24,2 8 2 ^ * 4 *,Postfix
25,4 5 9 5 ^ * -,Postfix
26,9 * 6 + 4 + 3,Infix
27,0 5 ^ 1 * 6 + 1 -,Postfix
28,5 * 4 / 7,Infix
29,0 + 0 * 3,Infix
30,9 1 * 9 2 * 2 * 3 * +,Postfix
31,4 ^ 6 * 2 + 0,Infix
32,0 * 3 - 6 / 9,Infix
33,1 7 * 1 * 0 *,Postfix
34,5 ^ 9 ^ 8 + 2,Infix
35,7 * 7 + 1 - 1 / 2,Infix
36,7 / 5 ^ 3 - 3,Infix
37,0 * 3 - 9 + 3 + 5 * 7,Infix
38,3 1 7 2 ^ * - 9 +,Postfix
39,6 0 / 0 2 / 4 / 7 * +,Postfix
40,6 * 2 - 6 ^ 7 ^ 1 + 7,Infix
41,5 ^ 8 * 6 + 4 ^ 4 / 2,Infix
42,1 / 1 / 9 - 3 * 9,Infix
43,8 2 ^ 2 / 9 9 ^ *,Postfix
44,0 + 4 - 9 ^ 5 + 3,Infix
45,7 5 / 4 + 7 +,Postfix
46,7 ^ 4 + 6 / 7,Infix
47,7 / 9 * 0,Infix
48,5 * 8 + 1 ^ 4 - 9,Infix
49,6 2 + 1 5 / -,Postfix
50,2 3 + 3 6 / - 6 5 / +,Postfix
51,7 0 / 5 * 7 -,Postfix
52,3 5 ^ 2 6 / -,Postfix
53,1 7 6 ^ * 5 / 6 /,Postfix
54,2 - 3 ^ 8 ^ 0,Infix
55,4 9 9 / 4 1 ^ / 7 / +,Postfix
56,5 + 6 ^ 1 - 0 + 4,Infix
57,6 1 - 9 + 7 + 6 + 4 -,Postfix
58,2 2 + 5 +,Postfix
59,2 6 - 3 2 / +,Postfix
60,6 * 0 ^ 4,Infix
61,7 3 6 8 ^ * 6 * 9 * -,Postfix
62,3 3 9 / - 8 +,Postfix
63,1 - 6 - 0 - 5,Infix
64,0 + 4 ^ 7,Infix
65,9 4 0 ^ ^ 6 / 5 1 / +,Postfix
66,2 / 2 / 9,Infix
67,0 / 3 - 4,Infix
68,1 - 0 - 8 ^ 8,Infix
69,6 9 / 8 2 ^ / 0 8 ^ /,Postfix
70,6 ^ 2 * 1 - 9,Infix
71,1 5 - 5 0 6 ^ ^ -,Postfix
72,3 ^ 8 * 9 / 3,Infix
73,8 8 * 3 8 / +,Postfix
74,6 + 9 * 0 * 0 + 6,Infix
75,5 ^ 0 - 0,Infix
76,6 4 / 4 3 ^ /,Postfix
77,2 1 5 * 3 * 4 * 6 / +,Postfix
78,0 1 4 ^ +,Postfix
79,1 7 ^ 1 8 7 ^ / -,Postfix
80,8 ^ 5 - 2 - 4,Infix
81,8 6 6 4 ^ ^ ^ 4 0 * +,Postfix
82,6 ^ 9 * 1,Infix
83,7 2 + 3 9 ^ + 5 1 ^ -,Postfix
84,3 ^ 9 ^ 8 + 3,Infix
85,5 9 * 4 * 5 -,Postfix
86,6 / 5 * 6 - 0 * 1,Infix
87,4 - 0 / 5 ^ 1 - 4,Infix
88,7 / 1 ^ 6 / 2 / 9 ^ 7,Infix
89,6 + 9 - 1 - 9,Infix
90,3 / 8 / 5 * 3 / 0 - 6,Infix
91,7 4 / 4 - 1 7 * - 1 +,Postfix
92,1 9 7 ^ *,Postfix
93,5 - 4 - 0 / 1 / 0 / 5,Infix
94,1 1 - 2 - 5 - 3 -,Postfix
95,0 8 6 ^ - 1 - 9 4 ^ -,Postfix
96,6 / 2 - 9 / 1 ^ 1,Infix
97,3 * 6 ^ 1 - 8,Infix
98,8 / 9 / 2 - 7,Infix
99,5 4 / 6 / 6 * 0 -,Postfix
100,7 - 5 * 0,Infix
101,0 / 3 / 1 / 1 ^ 7,Infix
102,0 1 ^ 4 / 6 0 * + 0 -,Postfix
103,4 2 ^ 5 1 ^ - 3 3 * +,Postfix
104,3 2 / 4 -,Postfix
105,1 7 9 ^ / 0 / 8 * 5 *,Postfix
106,9 - 5 - 7 * 7,Infix
107,0 2 2 7 ^ * - 9 1 / -,Postfix
108,5 1 - 3 5 / 8 * +,Postfix
109,6 6 1 4 ^ / +,Postfix
110,1 9 8 ^ / 4 +,Postfix
111,7 / 2 + 7 - 4 + 9,Infix
112,1 * 8 - 6 + 2 - 5 / 3,Infix
113,5 * 6 / 4,Infix
114,2 4 / 8 5 * +,Postfix
115,4 ^ 1 - 3 - 5 + 4 - 6,Infix
116,1 2 + 5 +,Postfix
117,4 0 * 5 -,Postfix
118,5 2 6 * + 6 -,Postfix
119,4 9 / 0 9 * 0 * +,Postfix
120,4 ^ 3 + 6 ^ 0,Infix
121,4 6 2 5 ^ ^ 5 / -,Postfix
122,7 9 ^ 7 * 7 2 ^ * 8 -,Postfix
123,0 * 1 + 9 / 8,Infix
124,5 - 8 - 1 * 0 - 2 - 3,Infix
125,5 / 8 * 4 ^ 6 - 5 ^ 3,Infix
126,0 ^ 2 - 6 / 8 * 0,Infix
127,0 0 4 / +,Postfix
128,1 + 6 * 1 * 4 ^ 8,Infix
129,1 + 0 - 2 * 0 - 0,Infix
130,5 5 * 7 * 6 5 / -,Postfix
131,3 - 7 - 6,Infix
132,5 6 2 ^ +,Postfix
133,6 ^ 9 + 5 ^ 9 ^ 9,Infix
134,2 / 5 * 8 * 1 / 4,Infix
135,8 8 - 0 5 / 8 9 ^ / -,Postfix
136,8 0 / 8 4 * 4 * 7 / -,Postfix
137,6 ^ 5 - 4 ^ 6 / 4 ^ 5,Infix
138,0 ^ 0 * 8 ^ 9 + 3 ^ 3,Infix
139,9 5 5 / 2 / +,Postfix
140,6 5 * 1 3 / + 4 9 * -,Postfix
141,4 4 7 * +,Postfix
142,5 0 5 ^ *,Postfix
143,7 ^ 1 * 8 - 8 - 9 ^ 9,Infix
144,1 ^ 6 ^ 7 ^ 5 - 5 - 8,Infix
145,3 1 - 8 + 0 +,Postfix
146,6 4 ^ 1 / 6 4 ^ /,Postfix
147,8 - 9 ^ 4 / 2 * 3,Infix
148,2 9 8 ^ ^,Postfix
149,1 / 3 - 5 * 8,Infix
150,6 ^ 5 * 7 / 0 / 8 / 2,Infix
151,2 1 - 3 -,Postfix
152,3 6 ^ 1 * 5 + 9 -,Postfix
153,6 2 / 8 8 / 4 / + 5 +,Postfix
154,3 8 4 ^ ^ 9 / 5 +,Postfix
155,5 4 * 0 / 2 * 8 * 3 +,Postfix
156,1 ^ 2 * 1 ^ 0 + 5 ^ 3,Infix
157,3 2 8 5 ^ ^ ^ 6 * 4 /,Postfix
158,0 + 0 / 4 + 0,Infix
159,5 0 0 * +,Postfix
160,6 / 4 + 2 * 9,Infix
